,genres
1244,"[3, 6, 5]"
1245,"[6, 1, 8]"
1246,"[6, 7]"
1247,"[7, 8]"
1248,[6]
1249,[6]
1250,"[13, 10, 8]"
1251,[13]
1252,"[4, 11]"
1253,[4]
1254,"[14, 6]"
1255,"[6, 11]"
1256,"[13, 6, 8]"
1257,[6]
1258,[6]
1259,"[6, 7, 8]"
1260,"[13, 8]"
1261,"[14, 9]"
1262,"[4, 6]"
1263,"[6, 7]"
1264,[4]
1265,"[6, 7]"
1266,"[14, 0, 5]"
1267,"[4, 6, 9]"
1268,"[6, 7]"
1269,"[6, 7]"
1270,"[6, 7]"
1271,"[13, 8]"
1272,"[14, 8]"
1273,"[0, 2, 3, 6, 12]"
1274,"[4, 13, 8]"
1275,"[14, 1, 9]"
1276,"[6, 10]"
1277,[6]
1278,[6]
1279,"[6, 11]"
1280,"[4, 6]"
1281,"[4, 6]"
1282,"[3, 4, 5]"
1283,[4]
1284,"[6, 7]"
1285,"[3, 4]"
1286,"[13, 6, 10]"
1287,"[3, 4]"
1288,"[4, 1, 10, 8]"
1289,[8]
1290,[6]
1291,"[6, 7]"
1292,"[14, 0, 8]"
1293,"[14, 0, 6, 9]"
1294,"[6, 7]"
1295,"[13, 6, 8]"
1296,[6]
1297,[4]
1298,"[4, 13]"
1299,"[6, 7]"
1300,"[4, 6]"
1301,"[6, 7]"
1302,"[14, 3, 4]"
1303,[4]
1304,[4]
1305,"[0, 17, 9, 8]"
1306,"[14, 13, 8]"
1307,[4]
1308,"[13, 6, 5, 8]"
1309,"[4, 7]"
1310,"[6, 7]"
1311,[6]
1312,[4]
1313,"[14, 1, 9]"
1314,"[6, 7]"
1315,"[14, 13, 8]"
1316,"[13, 7, 8]"
1317,[1]
1318,"[14, 4, 12]"
1319,"[4, 7]"
1320,"[9, 8]"
1321,"[13, 6, 10, 7, 8]"
1322,"[4, 6, 7]"
1323,"[13, 8]"
1324,"[13, 6, 8]"
1325,"[14, 13, 8]"
1326,[4]
1327,"[4, 6]"
1328,"[18, 15]"
1329,[8]
1330,"[4, 13, 6, 10, 8]"
1331,"[14, 0, 6]"
1332,"[13, 6]"
1333,"[13, 6, 10, 8]"
1334,"[0, 3, 4]"
1335,[6]
1336,"[13, 6]"
1337,"[4, 6]"
1338,"[3, 4, 6]"
1339,"[4, 6]"
1340,"[4, 7]"
1341,"[4, 8]"
1342,"[4, 6]"
1343,"[0, 3]"
1344,"[4, 18]"
1345,"[6, 7]"
1346,"[14, 0, 9]"
1347,"[14, 6, 8]"
1348,"[13, 6, 10, 8]"
1349,"[6, 5, 7]"
1350,"[4, 6]"
1351,[4]
1352,[4]
1353,[6]
1354,"[6, 8]"
1355,"[6, 7]"
1356,"[4, 10, 8]"
1357,"[0, 3, 4, 5]"
1358,[4]
1359,[18]
1360,[4]
1361,"[14, 4]"
1362,[6]
1363,[6]
1364,"[1, 9]"
1365,[4]
1366,"[14, 4, 13]"
1367,"[14, 0]"
1368,"[4, 6]"
1369,"[13, 6, 7, 11]"
1370,[4]
1371,"[6, 9, 8]"
1372,"[0, 2, 3, 5, 12]"
1373,"[14, 9, 8]"
1374,"[4, 6, 7]"
1375,"[0, 4, 6]"
1376,"[4, 6, 7]"
1377,"[0, 4, 16]"
1378,"[4, 6, 7]"
1379,"[6, 10, 8]"
1380,"[1, 8]"
1381,[8]
1382,[6]
1383,"[0, 4, 7]"
1384,"[4, 6, 7]"
1385,"[6, 7]"
1386,"[4, 6]"
1387,"[6, 7]"
1388,"[4, 6]"
1389,"[4, 7]"
1390,"[0, 2, 3, 4, 6, 12, 7]"
1391,"[14, 13, 10, 9, 8]"
1392,"[4, 13, 6]"
1393,[4]
1394,"[4, 13, 6, 7, 8]"
1395,"[6, 10]"
1396,"[4, 6]"
1397,"[6, 7]"
1398,"[14, 7, 9, 8]"
1399,"[14, 4, 13, 8]"
1400,"[3, 4]"
1401,"[2, 3, 5, 11]"
1402,"[6, 9, 8]"
1403,[6]
1404,"[4, 7]"
1405,"[1, 9]"
1406,[12]
1407,"[14, 6, 11]"
1408,"[6, 16]"
1409,"[6, 7]"
1410,"[0, 6]"
1411,"[6, 12]"
1412,[6]
1413,"[4, 7]"
1414,"[6, 11]"
1415,"[4, 6, 12]"
1416,[6]
1417,"[6, 11]"
1418,[6]
1419,[6]
1420,[6]
1421,"[6, 7, 11]"
1422,"[13, 6]"
1423,"[6, 7]"
1424,"[6, 12, 7]"
1425,"[0, 4, 7]"
1426,[6]
1427,"[6, 10]"
1428,"[6, 12]"
1429,[6]
1430,"[14, 13, 8]"
1431,[6]
1432,[6]
1433,[6]
1434,[6]
1435,"[4, 6]"
1436,"[6, 7]"
1437,[6]
1438,[6]
1439,[6]
1440,"[4, 13]"
1441,"[6, 10]"
1442,"[4, 9]"
1443,[4]
1444,"[0, 5, 12]"
1445,"[4, 6]"
1446,[1]
1447,"[1, 8]"
1448,"[1, 8]"
1449,[1]
1450,[1]
1451,"[1, 10, 8]"
1452,[1]
1453,[1]
1454,[1]
1455,[1]
1456,[1]
1457,[1]
1458,[1]
1459,[1]
1460,[1]
1461,[1]
1462,[1]
1463,[1]
1464,[1]
1465,[1]
1466,"[1, 8]"
1467,"[1, 8]"
1468,"[4, 1, 8]"
1469,"[1, 8]"
1470,"[1, 8]"
1471,"[1, 8]"
1472,"[1, 10]"
1473,[1]
1474,[1]
1475,"[14, 4, 13, 6]"
1476,"[14, 4, 13, 6]"
1477,"[14, 4, 13, 6]"
1478,"[4, 1]"
1479,"[4, 1]"
1480,"[14, 0, 3, 4, 5]"
1481,"[14, 4, 7]"
1482,[4]
1483,"[13, 6, 17]"
1484,"[6, 10, 9, 8]"
1485,"[6, 9]"
1486,"[0, 4, 9]"
1487,"[0, 4, 9, 16]"
1488,"[14, 0, 6]"
1489,"[3, 4, 5]"
1490,"[3, 4, 5]"
1491,"[3, 4, 16]"
1492,"[3, 5, 12]"
1493,"[2, 3, 6]"
1494,"[14, 0, 6]"
1495,"[6, 7]"
1496,"[0, 9]"
1497,[6]
1498,"[13, 6, 10, 8]"
1499,"[6, 10]"
1500,"[6, 7]"
1501,"[1, 8]"
1502,"[4, 13]"
1503,"[14, 6, 11]"
1504,"[3, 4]"
1505,"[0, 2, 3, 5]"
1506,"[3, 9]"
1507,"[3, 4]"
1508,"[3, 4]"
1509,"[0, 3, 4]"
1510,"[3, 4, 9]"
1511,"[3, 4]"
1512,"[14, 0, 3, 4]"
1513,"[3, 4]"
1514,"[0, 3, 5]"
1515,"[4, 5]"
1516,"[0, 3, 9]"
1517,"[14, 2, 3, 13]"
1518,"[0, 3, 4]"
1519,"[0, 3, 4]"
1520,"[3, 4, 5, 1]"
1521,"[3, 4, 9]"
1522,"[0, 3, 4, 5, 9]"
1523,"[14, 4, 16]"
1524,"[0, 3]"
1525,"[0, 3]"
1526,"[14, 13, 6, 10, 8]"
1527,"[3, 4, 7]"
1528,[4]
1529,[18]
1530,"[4, 6, 5, 7]"
1531,[17]
1532,"[6, 7, 11]"
1533,"[6, 5, 10]"
1534,[6]
1535,"[6, 7, 16]"
1536,[6]
1537,[4]
1538,[4]
1539,"[13, 6, 7]"
1540,"[6, 11]"
1541,"[6, 10, 8]"
1542,"[0, 3]"
1543,"[2, 3, 4, 12]"
1544,"[2, 3, 4, 7]"
1545,"[2, 3, 4, 12, 7]"
1546,"[3, 4]"
1547,"[3, 4, 12]"
1548,"[3, 12]"
1549,"[0, 2, 3]"
1550,"[2, 3, 5, 12]"
1551,"[0, 4, 12]"
1552,"[0, 2, 3]"
1553,"[0, 2, 3, 13, 6]"
1554,"[3, 9]"
1555,"[0, 2, 3, 5, 12, 7]"
1556,"[0, 3, 5]"
1557,"[14, 0, 9]"
1558,"[3, 4]"
1559,"[2, 3, 12]"
1560,"[3, 6, 5, 10, 8]"
1561,"[3, 4]"
1562,"[0, 2, 3, 12]"
1563,"[4, 5, 7]"
1564,"[2, 3, 4, 12]"
1565,"[0, 3, 5, 16]"
1566,[6]
1567,"[14, 0, 9]"
1568,"[6, 11]"
1569,"[1, 8]"
1570,"[4, 7]"
1571,[4]
1572,"[4, 13, 8]"
1573,[4]
1574,"[13, 6]"
1575,[6]
1576,"[14, 0, 5]"
1577,"[0, 2, 3, 5]"
1578,"[6, 9]"
1579,[8]
1580,[1]
1581,"[6, 1]"
1582,"[1, 8]"
1583,"[1, 8]"
1584,"[2, 3, 4, 6, 5]"
1585,"[3, 4, 5]"
1586,"[4, 6, 7]"
1587,"[14, 13, 10, 8]"
1588,"[13, 6, 7]"
1589,[6]
1590,[6]
1591,"[0, 4]"
1592,"[4, 5, 9]"
1593,"[0, 3, 12]"
1594,"[4, 9]"
1595,"[2, 3]"
1596,"[0, 2, 3, 6, 5]"
1597,"[0, 2, 3, 6]"
1598,"[0, 5]"
1599,"[0, 2, 3, 4]"
1600,"[0, 2, 3, 12, 16]"
1601,"[0, 5, 7]"
1602,"[4, 7]"
1603,"[4, 6, 7]"
1604,"[6, 7]"
1605,"[0, 6, 5]"
1606,"[4, 5, 1]"
1607,"[4, 5, 1]"
1608,"[0, 4]"
1609,[4]
1610,"[3, 4]"
1611,"[14, 0]"
1612,"[6, 7]"
1613,"[4, 6]"
1614,"[4, 6, 7]"
1615,"[13, 1, 8]"
1616,"[6, 1, 8]"
1617,"[0, 3, 5]"
1618,"[0, 3, 5]"
1619,"[4, 1]"
1620,"[14, 4, 6, 1]"
1621,"[4, 6]"
1622,"[13, 6, 7, 8]"
1623,"[14, 1, 8]"
1624,[4]
1625,"[14, 4]"
1626,"[4, 6, 7]"
1627,"[4, 6]"
1628,"[4, 5]"
1629,"[6, 7]"
1630,"[13, 6, 8]"
1631,"[4, 8]"
1632,[8]
1633,[8]
1634,[8]
1635,"[6, 10, 7, 8]"
1636,"[6, 17, 8]"
1637,"[0, 6, 10, 8]"
1638,"[4, 10]"
1639,[8]
1640,"[13, 6, 17, 8]"
1641,"[10, 7, 8]"
1642,[6]
1643,[6]
1644,"[14, 0, 5]"
1645,"[14, 13, 6]"
1646,[4]
1647,[14]
1648,[6]
1649,"[6, 11]"
1650,"[13, 6, 8]"
1651,"[10, 8]"
1652,"[4, 7]"
1653,"[17, 10, 8]"
1654,[6]
1655,"[6, 10, 8]"
1656,[8]
1657,[8]
1658,"[6, 8]"
1659,[6]
1660,"[13, 6, 8]"
1661,[6]
1662,"[1, 10, 9, 8]"
1663,[6]
1664,"[4, 6]"
1665,[6]
1666,[4]
1667,"[4, 6, 7]"
1668,"[4, 7]"
1669,"[4, 6, 7]"
1670,[4]
1671,"[4, 6, 7]"
1672,[4]
1673,"[4, 6]"
1674,"[4, 5]"
1675,[4]
1676,"[1, 9]"
1677,"[4, 7]"
1678,"[4, 7]"
1679,"[13, 6]"
1680,[4]
1681,"[4, 6, 7]"
1682,"[6, 5, 8]"
1683,"[4, 13]"
1684,"[0, 4]"
1685,"[4, 7]"
1686,"[10, 8]"
1687,"[13, 6, 8]"
1688,"[6, 7]"
1689,[6]
1690,[6]
1691,"[14, 4, 13, 8]"
1692,"[14, 0, 9]"
1693,"[14, 13, 8]"
1694,"[1, 8]"
1695,[13]
1696,"[14, 13, 6]"
1697,"[4, 6]"
1698,[6]
1699,[4]
1700,"[1, 9, 8]"
1701,"[14, 1, 9, 8]"
1702,"[4, 13, 6]"
1703,"[4, 6]"
1704,"[6, 5, 7]"
1705,"[4, 7]"
1706,"[0, 2, 3, 4, 5]"
1707,[4]
1708,[4]
1709,"[0, 6, 5, 7]"
1710,[8]
1711,[4]
1712,"[4, 12]"
1713,[4]
1714,"[6, 12]"
1715,[6]
1716,[4]
1717,"[14, 13]"
1718,[6]
1719,[9]
1720,[6]
1721,[6]
1722,[6]
1723,"[4, 1, 8]"
1724,"[6, 5, 10, 7]"
1725,"[4, 6]"
1726,"[6, 8]"
1727,"[4, 6, 5]"
1728,"[14, 9, 11]"
1729,[18]
1730,"[4, 6, 7, 11]"
1731,[4]
1732,"[5, 1, 8]"
1733,"[1, 16]"
1734,"[13, 6]"
1735,"[4, 18]"
1736,"[4, 6, 7]"
1737,"[13, 6]"
1738,[6]
1739,"[14, 8]"
1740,[4]
1741,[6]
1742,[6]
1743,"[1, 10, 8]"
1744,"[4, 7]"
1745,[7]
1746,"[4, 6]"
1747,"[14, 0, 6, 8]"
1748,"[10, 9, 8]"
1749,[6]
1750,[6]
1751,"[4, 8]"
1752,[4]
1753,[6]
1754,"[4, 6]"
1755,"[14, 8]"
1756,"[2, 3, 4]"
1757,"[0, 2, 3, 4]"
1758,[4]
1759,[6]
1760,"[6, 11]"
1761,[4]
1762,[6]
1763,[4]
1764,[6]
1765,"[6, 1, 9]"
1766,"[14, 1, 9, 8]"
1767,"[14, 9]"
1768,"[14, 0, 5, 1]"
1769,"[0, 5, 7, 9, 8]"
1770,"[0, 9]"
1771,"[4, 6, 7]"
1772,"[14, 0, 6]"
1773,"[4, 13, 10]"
1774,[4]
1775,"[14, 0, 5]"
1776,"[4, 6]"
1777,[4]
1778,"[14, 0, 8]"
1779,"[1, 9]"
1780,"[4, 13]"
1781,"[4, 13]"
1782,"[4, 13]"
1783,"[4, 13]"
1784,"[4, 13]"
1785,"[4, 13]"
1786,"[0, 3, 6]"
1787,"[4, 7]"
1788,"[4, 13]"
1789,"[6, 7]"
1790,"[13, 1, 8]"
1791,[4]
1792,"[13, 6, 8]"
1793,"[3, 4, 6]"
1794,"[14, 6, 7, 9]"
1795,"[2, 12]"
1796,"[4, 6]"
1797,"[4, 6, 7]"
1798,"[4, 6]"
1799,"[0, 3, 5]"
1800,"[3, 6, 5]"
1801,[16]
1802,"[14, 0, 8]"
1803,"[14, 0, 6, 8]"
1804,"[14, 0, 8, 11]"
1805,"[14, 0, 4, 7]"
1806,"[14, 0, 4, 7]"
1807,"[4, 9]"
1808,"[4, 9]"
1809,"[14, 6]"
1810,"[14, 6]"
1811,"[14, 6]"
1812,"[14, 6]"
1813,"[4, 13, 10, 8]"
1814,"[14, 0, 3, 5, 10, 8]"
1815,"[6, 7]"
1816,[4]
1817,"[4, 6]"
1818,[4]
1819,"[6, 8]"
1820,[6]
1821,"[14, 0, 6]"
1822,"[14, 0, 3, 6]"
1823,[4]
1824,"[4, 7]"
1825,[13]
1826,"[14, 6, 11]"
1827,"[1, 9]"
1828,"[14, 0, 6, 5, 8]"
1829,"[0, 3, 6]"
1830,"[4, 6]"
1831,[6]
1832,[6]
1833,[6]
1834,"[4, 6, 11]"
1835,[6]
1836,[6]
1837,"[6, 7]"
1838,[6]
1839,"[1, 8]"
1840,"[4, 6]"
1841,"[1, 9]"
1842,"[0, 4, 9]"
1843,[1]
1844,"[6, 5]"
1845,"[1, 10, 9]"
1846,"[6, 1, 9, 8]"
1847,"[1, 9]"
1848,"[14, 4]"
1849,"[4, 13]"
1850,[1]
1851,[1]
1852,[1]
1853,[4]
1854,[1]
1855,"[13, 6, 10, 8]"
1856,"[14, 4, 7, 8]"
1857,"[4, 6]"
1858,"[0, 4]"
1859,"[14, 0, 4]"
1860,[4]
1861,[4]
1862,[6]
1863,"[14, 10, 8]"
1864,"[14, 11]"
1865,[0]
1866,"[4, 16]"
1867,"[6, 7]"
1868,"[4, 7]"
1869,"[0, 4, 8]"
1870,"[4, 7]"
1871,"[6, 1, 8]"
1872,"[14, 8]"
1873,"[4, 7]"
1874,"[4, 7]"
1875,[6]
1876,[18]
1877,"[2, 9]"
1878,"[4, 7]"
1879,[7]
1880,"[4, 9]"
1881,[4]
1882,[6]
1883,"[4, 13]"
1884,[6]
1885,"[4, 6]"
1886,"[6, 10, 8]"
1887,"[4, 6, 7]"
1888,"[13, 17]"
1889,[6]
1890,[1]
1891,"[4, 1]"
1892,[1]
1893,[1]
1894,[1]
1895,[4]
1896,[6]
1897,"[14, 6, 8]"
1898,[6]
1899,"[6, 8]"
1900,"[14, 0, 6, 8]"
1901,"[14, 1, 9]"
1902,[9]
1903,"[14, 9, 8, 16]"
1904,"[14, 0, 9]"
1905,"[14, 6, 9]"
1906,"[14, 9]"
1907,"[14, 9]"
1908,"[14, 9]"
1909,"[14, 9]"
1910,[14]
1911,"[14, 6, 8]"
1912,[0]
1913,[18]
1914,[4]
1915,"[14, 13, 6, 8]"
1916,[6]
1917,"[4, 13, 8]"
1918,"[6, 7]"
1919,[6]
1920,[1]
1921,"[14, 9]"
1922,"[1, 8]"
1923,"[6, 1, 8]"
1924,[4]
1925,"[1, 9, 8]"
1926,"[1, 9, 8]"
1927,[4]
1928,"[6, 8]"
1929,"[4, 7]"
1930,"[2, 3]"
1931,"[1, 8]"
1932,"[13, 8]"
1933,[6]
1934,"[6, 12, 7]"
1935,"[2, 3]"
1936,[4]
1937,"[14, 13]"
1938,"[6, 7]"
1939,"[14, 9, 8]"
1940,"[4, 7]"
1941,"[6, 12]"
1942,[4]
1943,[6]
1944,"[4, 6]"
1945,"[13, 10, 8]"
1946,"[4, 13]"
1947,"[4, 7]"
1948,"[14, 4]"
1949,"[4, 6]"
1950,"[6, 7]"
1951,"[4, 13, 8]"
1952,"[4, 13, 6]"
1953,"[4, 6, 7]"
1954,[6]
1955,[4]
1956,"[6, 7, 9, 8]"
1957,"[4, 6]"
1958,"[4, 7]"
1959,[4]
1960,[4]
1961,"[14, 9, 8]"
1962,"[13, 8]"
1963,"[4, 1]"
1964,"[6, 7]"
1965,[6]
1966,[6]
1967,"[6, 17]"
1968,"[4, 1, 9]"
1969,"[14, 1, 9]"
1970,"[0, 9]"
1971,"[14, 13]"
1972,"[14, 0, 4, 5, 1, 8]"
1973,[4]
1974,"[6, 7]"
1975,"[4, 5]"
1976,[4]
1977,"[6, 5]"
1978,"[14, 0, 13, 9, 8]"
1979,"[14, 0, 9]"
1980,"[4, 7]"
1981,[6]
1982,"[0, 6, 10]"
1983,"[1, 7]"
1984,[1]
1985,[6]
1986,"[14, 0, 9]"
1987,"[14, 9]"
1988,"[14, 0, 9]"
1989,"[14, 0, 9]"
1990,[1]
1991,"[6, 1, 9]"
1992,[1]
1993,[1]
1994,"[6, 5, 1]"
1995,[1]
1996,"[1, 9]"
1997,"[4, 1, 12, 9]"
1998,"[4, 18]"
1999,"[1, 9]"
2000,[9]
2001,"[14, 6, 9]"
2002,"[1, 9, 8]"
2003,[9]
2004,"[1, 9]"
2005,[11]
2006,[11]
2007,"[4, 7]"
2008,"[6, 9, 8]"
2009,"[6, 5]"
2010,"[6, 8]"
2011,"[18, 12]"
2012,"[4, 7, 9]"
2013,[6]
2014,"[14, 0, 4]"
2015,"[6, 10]"
2016,"[0, 2, 3, 6]"
2017,"[13, 6, 10, 8]"
2018,"[4, 7]"
2019,[6]
2020,"[14, 13]"
2021,[18]
2022,[4]
2023,[6]
2024,[4]
2025,"[4, 6, 7]"
2026,[9]
2027,"[4, 1]"
2028,"[2, 4, 12]"
2029,"[14, 4, 9, 16]"
2030,[6]
2031,"[4, 7]"
2032,[8]
2033,[7]
2034,"[3, 4]"
2035,"[6, 1, 8]"
2036,"[6, 10, 8]"
2037,"[1, 8]"
2038,"[14, 4, 9]"
2039,"[4, 5, 9]"
2040,[4]
2041,"[1, 8]"
2042,"[14, 0, 3, 4]"
2043,"[14, 1, 9, 8]"
2044,"[14, 4, 5]"
2045,"[4, 7]"
2046,[6]
2047,"[13, 17]"
2048,"[13, 17]"
2049,"[14, 6, 7, 11]"
2050,"[6, 7]"
2051,"[6, 7, 11]"
2052,"[13, 6]"
2053,"[6, 7]"
2054,"[0, 4, 7]"
2055,"[0, 6, 8]"
2056,"[14, 0, 4, 5, 10]"
2057,[4]
2058,"[14, 6, 8]"
2059,"[4, 6]"
2060,[6]
2061,"[1, 9]"
2062,"[14, 13, 8]"
2063,"[4, 6]"
2064,[6]
2065,[6]
2066,[6]
2067,"[4, 1, 12]"
2068,"[4, 1]"
2069,"[14, 0, 4]"
2070,"[6, 10]"
2071,"[4, 6]"
2072,"[4, 6]"
2073,"[4, 10]"
2074,[1]
2075,[6]
2076,[4]
2077,"[0, 2, 3, 6, 9]"
2078,"[6, 1, 10]"
2079,"[14, 10]"
2080,"[13, 6, 7, 8]"
2081,"[4, 6]"
2082,"[4, 6]"
2083,"[13, 6]"
2084,[4]
2085,[6]
2086,[4]
2087,"[4, 7]"
2088,[6]
2089,[4]
2090,[1]
2091,[1]
2092,[4]
2093,[1]
2094,[4]
2095,[1]
2096,"[1, 8]"
2097,[4]
2098,[4]
2099,"[4, 1, 7, 8]"
2100,"[0, 4, 7]"
2101,[4]
2102,[4]
2103,"[4, 6, 5, 7]"
2104,"[3, 4]"
2105,[4]
2106,"[0, 2, 3, 6, 5]"
2107,"[6, 7]"
2108,"[14, 6, 7, 8]"
2109,"[13, 6, 10, 7, 8]"
2110,"[3, 4]"
2111,"[4, 7]"
2112,"[4, 8]"
2113,"[14, 9]"
2114,"[14, 9]"
2115,"[2, 1, 10, 8]"
2116,"[14, 8]"
2117,[18]
2118,"[14, 11]"
2119,"[14, 11]"
2120,[14]
2121,"[14, 11]"
2122,"[6, 10, 7, 8]"
2123,[6]
2124,"[0, 7]"
2125,"[18, 6]"
2126,"[14, 0, 5]"
2127,"[1, 9, 8]"
2128,"[3, 4]"
2129,[4]
2130,"[14, 0, 4, 8]"
2131,[4]
2132,"[4, 7]"
2133,[6]
2134,"[6, 8]"
2135,"[1, 10, 8]"
2136,"[4, 7]"
2137,"[6, 10]"
2138,"[0, 3, 4, 6]"
2139,"[0, 6, 7]"
2140,[6]
2141,"[0, 9, 8]"
2142,[6]
2143,[8]
2144,"[0, 2, 4, 5, 12]"
2145,"[6, 7]"
2146,"[18, 12]"
2147,[4]
2148,"[4, 6]"
2149,[6]
2150,"[0, 4, 12]"
2151,[4]
2152,[6]
2153,"[4, 1, 8]"
2154,[1]
2155,[4]
2156,"[0, 6, 8]"
2157,"[0, 5]"
2158,"[4, 12, 7]"
2159,"[6, 10, 7]"
2160,"[2, 3, 5]"
2161,[12]
2162,[1]
2163,"[14, 0, 4]"
2164,"[14, 0, 4]"
2165,"[14, 13, 6, 8]"
2166,[6]
2167,"[4, 6]"
2168,"[4, 7]"
2169,"[6, 7]"
2170,"[3, 4]"
2171,"[14, 4]"
2172,"[4, 7]"
2173,"[4, 6]"
2174,"[14, 0, 4, 6, 11]"
2175,[4]
2176,"[14, 6]"
2177,"[14, 0, 6]"
2178,"[6, 7]"
2179,[16]
2180,"[4, 11]"
2181,"[1, 10]"
2182,"[0, 2, 3]"
2183,"[1, 9]"
2184,"[1, 9]"
2185,"[1, 10, 8]"
2186,"[1, 8]"
2187,"[14, 0, 6]"
2188,"[6, 7]"
2189,[4]
2190,[6]
2191,"[13, 6, 8]"
2192,[4]
2193,"[14, 0, 9, 8]"
2194,"[13, 8]"
2195,[4]
2196,"[6, 7, 11]"
2197,[16]
2198,"[13, 6, 16]"
2199,"[14, 4]"
2200,[6]
2201,"[4, 6]"
2202,"[6, 7]"
2203,[6]
2204,"[6, 7]"
2205,[18]
2206,"[4, 13, 6, 5]"
2207,[6]
2208,"[4, 7]"
2209,"[0, 4, 7]"
2210,[4]
2211,"[6, 8]"
2212,"[6, 17, 10, 7]"
2213,"[12, 7, 11]"
2214,"[6, 7]"
2215,"[6, 7]"
2216,"[14, 6, 11]"
2217,"[4, 12]"
2218,"[14, 0, 8]"
2219,"[14, 0, 8]"
2220,"[14, 0, 8]"
2221,"[0, 6, 7]"
2222,"[14, 16]"
2223,"[13, 6, 8]"
2224,"[3, 4]"
2225,"[14, 13, 8]"
2226,"[14, 13, 6, 8]"
2227,"[4, 6]"
2228,"[4, 7]"
2229,[6]
2230,[14]
2231,"[0, 6]"
2232,"[6, 8]"
2233,"[0, 4, 5, 9]"
2234,"[6, 7]"
2235,"[0, 6]"
2236,"[6, 5, 12]"
2237,"[6, 11]"
2238,"[4, 13, 6]"
2239,"[1, 8]"
2240,"[4, 6]"
2241,[6]
2242,"[4, 6]"
2243,"[4, 7]"
2244,[6]
2245,"[1, 8]"
2246,[8]
2247,[18]
2248,"[14, 13, 6, 9, 8]"
2249,"[14, 13, 9, 8]"
2250,"[0, 2, 3, 4, 13, 5, 10]"
2251,[6]
2252,"[14, 0, 8]"
2253,"[14, 0, 8]"
2254,"[14, 0, 8]"
2255,"[1, 8]"
2256,"[14, 0, 8]"
2257,"[1, 8]"
2258,[6]
2259,"[4, 6, 5]"
2260,"[14, 0, 2, 6, 5]"
2261,[18]
2262,"[4, 6, 7, 11]"
2263,"[4, 7]"
2264,[8]
2265,"[6, 8]"
2266,[18]
2267,"[6, 9]"
2268,[6]
2269,[6]
2270,"[4, 1]"
2271,[4]
2272,[8]
2273,[1]
2274,[1]
2275,"[4, 1, 9]"
2276,"[13, 6]"
2277,"[14, 6]"
2278,[1]
2279,"[4, 11]"
2280,"[1, 9]"
2281,[4]
2282,"[14, 6]"
2283,"[14, 0]"
2284,[4]
2285,"[14, 6, 9, 8]"
2286,"[4, 9]"
2287,"[0, 2, 3, 4, 12]"
2288,"[4, 6, 11]"
2289,"[0, 6]"
2290,[16]
2291,[6]
2292,[4]
2293,[4]
2294,[4]
2295,[4]
2296,[4]
2297,"[10, 7, 8]"
2298,"[4, 6]"
2299,"[4, 7]"
2300,[4]
2301,"[4, 6]"
2302,"[0, 4, 5]"
2303,"[6, 11]"
2304,"[0, 2, 3, 5, 9]"
2305,[8]
2306,"[13, 6, 8]"
2307,[4]
2308,"[4, 6, 12]"
2309,"[4, 12]"
2310,"[14, 6, 11]"
2311,"[6, 8]"
2312,"[6, 8]"
2313,"[14, 6, 11]"
2314,"[4, 6]"
2315,"[6, 10]"
2316,"[0, 4, 9]"
2317,"[4, 6]"
2318,"[4, 7]"
2319,"[6, 7]"
2320,[16]
2321,"[6, 1]"
2322,[4]
2323,[18]
2324,[6]
2325,"[4, 6, 7]"
2326,"[5, 1, 10, 7]"
2327,"[14, 0, 8]"
2328,[6]
2329,"[3, 4, 5, 12]"
2330,"[4, 5, 7]"
2331,"[4, 5]"
2332,[6]
2333,[6]
2334,"[6, 11]"
2335,"[6, 16]"
2336,"[6, 7]"
2337,[6]
2338,[4]
2339,"[4, 6, 7]"
2340,[6]
2341,"[4, 6, 7]"
2342,[6]
2343,"[6, 8]"
2344,"[13, 7, 8]"
2345,"[6, 7]"
2346,"[14, 4, 13, 8]"
2347,"[6, 10]"
2348,"[6, 7]"
2349,"[14, 6]"
2350,"[4, 6, 5, 7]"
2351,[6]
2352,[6]
2353,[6]
2354,"[14, 5, 1, 10, 8]"
2355,"[0, 2, 3, 4, 5]"
2356,[6]
2357,"[6, 7, 11]"
2358,[4]
2359,[6]
2360,"[4, 6]"
2361,"[4, 6]"
2362,"[4, 13, 6]"
2363,"[4, 6]"
2364,"[6, 11]"
2365,[6]
2366,[6]
2367,[6]
2368,"[18, 12]"
2369,"[6, 11]"
2370,[6]
2371,[4]
2372,"[13, 6]"
2373,[6]
2374,"[6, 8]"
2375,[6]
2376,"[14, 0, 5]"
2377,"[6, 7]"
2378,"[6, 7, 9]"
2379,"[3, 4, 5]"
2380,[6]
2381,"[2, 3, 12, 15]"
2382,[6]
2383,"[6, 7]"
2384,"[4, 6]"
2385,"[4, 6, 12]"
2386,"[14, 6]"
2387,"[4, 6]"
2388,"[0, 6]"
2389,"[13, 6, 8]"
2390,[6]
2391,[6]
2392,"[4, 6]"
2393,"[0, 4, 9]"
2394,"[6, 10, 8]"
2395,[4]
2396,[6]
2397,[6]
2398,[6]
2399,[18]
2400,[6]
2401,[6]
2402,[6]
2403,"[3, 6]"
2404,"[0, 9, 8]"
2405,[6]
2406,"[6, 7]"
2407,"[6, 11]"
2408,"[14, 13, 7, 8]"
2409,"[13, 6]"
2410,"[4, 6]"
2411,[6]
2412,[8]
2413,"[14, 10, 8]"
2414,[7]
2415,"[14, 4]"
